AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-TL01,Choisir le type d'un langage formel en fonction des caractéristiques des mots à reconnaître.,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-TL02,"Déterminer le rôle des différents éléments d'une grammaire formelle (terminaux, non terminaux, axiome, règles).",0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-TL03,"Déterminer, à l'aide de l'algorithme de dérivation, l'appartenance ou non d'un mot à un langage formel.",0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-COMP01,"Comprendre le vocabulaire des bases de la théorie de la compilation : unité lexicale, lexème, AST.",0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-COMP02,Connaître les entrées et sorties des différentes étapes du processus de la compilation.,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-AL01,Lire et écrire des expressions rationnelles.,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-AL02,"Caractériser un automate à états finis (déterministe, non déterministe, à epsilon transition).",0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-AL03,"Comprendre la correspondance entre grammaire formelle linéaire, expression rationnelle et automate à états finis.",0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-AL04,"Déterminer, à l'aide de l'algorithme de parcours d'automate, l'appartenance ou non d'un mot à un langage rationnel.",0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASY01,Créer un AST depuis la racine à l'aide de l'algorithme de dérivation.,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASY02,Créer un AST depuis les feuilles à l'aide de l'algorithme décalage-réduction.,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASY03,Désambiguïser une grammaire en décomposant des règles.,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASY04,Désambiguïser une grammaire en priorisant des unités lexicales ou en définissant des associativités.,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASY05,Supprimer des récursivités à gauche à l'aide de l'algorithme décalage-réduction.,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASE01,Calculer la valeur d'un attribut synthétisé d'une grammaire attribuée.,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASE02,Calculer la valeur d'un attribut hérité d'une grammaire attribuée.,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASE03,Calculer le graphe des dépendances d'une grammaire attribuée.,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASE04,Ajouter des règles sémantiques.,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASE05,Réprésenter et implémenter en classes les non terminaux des grammaires attribuées.,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASE06,"Utiliser le design pattern Visiteur pour développer les analyseurs sémantiques, l'optimiseur et la phase de traitement.",0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-JC01,Représenter les unités lexicales.,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-JC02,Traduire les règles de la grammaire attribuée et les règles sémantiques en code JavaCC.,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-JC03,Remplacer les règles utilisant epsilon par l'utilisation de l'opérateur de Kleene.,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-JC04,Compiler le code JavaCC et Java,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,,,0
specifier-1.2,Décomposer et organiser un processus,COMP-TL01,Choisir le type d'un langage formel en fonction des caractéristiques des mots à reconnaître.,0
specifier-1.2,Décomposer et organiser un processus,COMP-TL02,"Déterminer le rôle des différents éléments d'une grammaire formelle (terminaux, non terminaux, axiome, règles).",0
specifier-1.2,Décomposer et organiser un processus,COMP-TL03,"Déterminer, à l'aide de l'algorithme de dérivation, l'appartenance ou non d'un mot à un langage formel.",0
specifier-1.2,Décomposer et organiser un processus,COMP-COMP01,"Comprendre le vocabulaire des bases de la théorie de la compilation : unité lexicale, lexème, AST.",0
specifier-1.2,Décomposer et organiser un processus,COMP-COMP02,Connaître les entrées et sorties des différentes étapes du processus de la compilation.,0
specifier-1.2,Décomposer et organiser un processus,COMP-AL01,Lire et écrire des expressions rationnelles.,0
specifier-1.2,Décomposer et organiser un processus,COMP-AL02,"Caractériser un automate à états finis (déterministe, non déterministe, à epsilon transition).",0
specifier-1.2,Décomposer et organiser un processus,COMP-AL03,"Comprendre la correspondance entre grammaire formelle linéaire, expression rationnelle et automate à états finis.",0
specifier-1.2,Décomposer et organiser un processus,COMP-AL04,"Déterminer, à l'aide de l'algorithme de parcours d'automate, l'appartenance ou non d'un mot à un langage rationnel.",0
specifier-1.2,Décomposer et organiser un processus,COMP-ASY01,Créer un AST depuis la racine à l'aide de l'algorithme de dérivation.,0
specifier-1.2,Décomposer et organiser un processus,COMP-ASY02,Créer un AST depuis les feuilles à l'aide de l'algorithme décalage-réduction.,0
specifier-1.2,Décomposer et organiser un processus,COMP-ASY03,Désambiguïser une grammaire en décomposant des règles.,0
specifier-1.2,Décomposer et organiser un processus,COMP-ASY04,Désambiguïser une grammaire en priorisant des unités lexicales ou en définissant des associativités.,0
specifier-1.2,Décomposer et organiser un processus,COMP-ASY05,Supprimer des récursivités à gauche à l'aide de l'algorithme décalage-réduction.,0
specifier-1.2,Décomposer et organiser un processus,COMP-ASE01,Calculer la valeur d'un attribut synthétisé d'une grammaire attribuée.,0
specifier-1.2,Décomposer et organiser un processus,COMP-ASE02,Calculer la valeur d'un attribut hérité d'une grammaire attribuée.,0
specifier-1.2,Décomposer et organiser un processus,COMP-ASE03,Calculer le graphe des dépendances d'une grammaire attribuée.,0
specifier-1.2,Décomposer et organiser un processus,COMP-ASE04,Ajouter des règles sémantiques.,0
specifier-1.2,Décomposer et organiser un processus,COMP-ASE05,Réprésenter et implémenter en classes les non terminaux des grammaires attribuées.,0
specifier-1.2,Décomposer et organiser un processus,COMP-ASE06,"Utiliser le design pattern Visiteur pour développer les analyseurs sémantiques, l'optimiseur et la phase de traitement.",0
specifier-1.2,Décomposer et organiser un processus,COMP-JC01,Représenter les unités lexicales.,0
