AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL,MEAN-MAXSIM
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-PRG-01,"Choisir et utiliser les types de bases (bool, int, float, complex, list, etc.)",0,0.5235666037
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-PRG-02,"Utiliser les structures de contrôle (if, for, while, etc.)",0,0.5450004339
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-PRG-03,"Définir une fonction (arité variable, valeurs par défaut, obligation des paramètres positionnels ou nommés, etc.)",0,0.5384187698
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-PRG-04,"Appeler une fonction (passage de paramètre posiitonnel ou nommé, tuple ou dictionnaire en paramètres effectifs, etc.)",0,0.5194792151
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-PRG-05,"Créer des packages, modules et script",0,0.5174893141
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-PRG-06,"Importer des modules, éléments de modules en les renommant si nécessaire",0,0.5310131311
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-PRG-07,Comprendre l'affectation,0,0.5082431436
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-PRG-08,Utiliser les fonctions lambda,0,0.5218743086
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-PRG-09,"Utiliser les fonctions map, filter et comprehension de séquences",0,0.5341669321
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-PRG-10,Utiliser l'instruction yield,0,0.5202838182
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-POO-01,"Définir une classe (attributs, méthodes, initialiseur, etc.)",0,0.5395477414
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-POO-02,Utiliser les propriétés,0,0.5480139852
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-POO-03,Définir les méthodes spéciales,0,0.5428785086
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-POO-04,Définir et utiliser les méthodes statiques et de classes,0,0.5233570337
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-POO-05,Définir et utiliser des énumérations,0,0.5315737128
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-POO-06,Définir et utiliser des dataclasses,0,0.5520700216
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-POO-07,Définir et utiliser des classes abstraites et des protocoles,0,0.5369217396
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-POO-08,Définir et utiliser des exceptions,0,0.5392838717
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-POO-09,Définir et utiliser des gestionnaires de contexte,0,0.5320980549
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-POO-10,Utiliser des flux,0,0.5545717478
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-DEV-01,Dissocier Python du Système d'exploitation (pyenv),0,0.4920740128
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-DEV-02,Gérer les dépendances,0,0.5335290432
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-DEV-03,Céer et utiliser les tests unitaires,0,0.5169631243
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-DEV-04,Utiliser les logs,0,0.5286201239
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-DEV-05,Utiliser le annotations,0,0.5385746360
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-DEV-06,Réaliser une audit statique de code,0,0.5134655237
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-ARC-01,Créer des décorateurs,0,0.5184894800
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-ARC-02,Créer et utiliser des métaclasses,0,0.5376701951
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-ARC-03,Controler l'accès aux attributs,0,0.5441794991
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,PYTHON-ARC-04,Créer et utiliser des coroutines,0,0.5192383528
specifier-1.2,Décomposer et organiser un processus,PYTHON-PRG-01,"Choisir et utiliser les types de bases (bool, int, float, complex, list, etc.)",0,0.5133563280
specifier-1.2,Décomposer et organiser un processus,PYTHON-PRG-02,"Utiliser les structures de contrôle (if, for, while, etc.)",0,0.5546351075
specifier-1.2,Décomposer et organiser un processus,PYTHON-PRG-03,"Définir une fonction (arité variable, valeurs par défaut, obligation des paramètres positionnels ou nommés, etc.)",0,0.5418467522
specifier-1.2,Décomposer et organiser un processus,PYTHON-PRG-04,"Appeler une fonction (passage de paramètre posiitonnel ou nommé, tuple ou dictionnaire en paramètres effectifs, etc.)",0,0.5305158496
specifier-1.2,Décomposer et organiser un processus,PYTHON-PRG-05,"Créer des packages, modules et script",0,0.5393961668
specifier-1.2,Décomposer et organiser un processus,PYTHON-PRG-06,"Importer des modules, éléments de modules en les renommant si nécessaire",0,0.5416159630
specifier-1.2,Décomposer et organiser un processus,PYTHON-PRG-07,Comprendre l'affectation,0,0.5360508561
