AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL,MEAN-MAXSIM
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-CBD01,"Identifier les caractéristiques des données massives (volume, vélocité, variété, véracité)",0,0.5086305141
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-CBD02,Expliquer les enjeux liés au traitement de données massives,0,0.5403569937
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-CBD03,Expliquer les limites des systèmes de gestion de données traditionnels,0,0.5178977251
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-ARC01,Décrire l'organisation générale d'un système Big Data,0,0.5326969624
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-ARC02,"Expliquer le rôle des différentes couches (batch, temps réel, stockage)",0,0.5137555599
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-ARC03,"Décrire les étapes de traitement des données (collecte, traitement, stockage)",0,0.5694878101
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-STO01,Décrire les principes du stockage distribué des données,1,0.5553910732
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-STO02,"Expliquer les mécanismes assurant la fiabilité des données (réplication, distribution)",0,0.5373277068
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-STO03,Identifier différents types de bases de données adaptées au Big Data,0,0.5367766619
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-STO04,"Manipuler des données dans une base NoSQL (requêtes, insertion, modification)",0,0.5170739889
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRD01,Décrire le principe du traitement de données en mode batch,0,0.5468667150
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRD02,Expliquer le fonctionnement du modèle MapReduce,0,0.5410825014
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRD03,Concevoir un traitement distribué à partir d'un problème donné,0,0.5106985569
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRD04,Identifier les limites des traitements batch pour certaines applications,0,0.5025219917
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRT01,Expliquer les principes du traitement de données en flux,0,0.5732060671
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRT02,Comparer les traitements batch et temps réel,0,0.5188961625
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRT03,"Décrire les étapes d'un traitement de données en temps réel (collecte, traitement, stockage)",0,0.5498102307
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRT04,Utiliser des outils de traitement de flux pour analyser des données en temps réel,0,0.5276104808
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-COL01,Décrire les mécanismes de collecte de données dans un système distribué,1,0.5376760364
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-COL02,Expliquer le principe d'échange de données entre producteurs et consommateurs,0,0.5279044509
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-COL03,Interagir avec des services permettant d'accéder aux données (API),0,0.5487254858
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-COL04,Mettre à disposition des données via une interface ou un service,0,0.5492497683
