AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL,MEAN-MAXSIM
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-TL01,Choisir le type d'un langage formel en fonction des caractéristiques des mots à reconnaître.,0,0.5286786556
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-TL02,"Déterminer le rôle des différents éléments d'une grammaire formelle (terminaux, non terminaux, axiome, règles).",0,0.5514908433
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-TL03,"Déterminer, à l'aide de l'algorithme de dérivation, l'appartenance ou non d'un mot à un langage formel.",0,0.5122841001
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-COMP01,"Comprendre le vocabulaire des bases de la théorie de la compilation : unité lexicale, lexème, AST.",0,0.5089401603
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-COMP02,Connaître les entrées et sorties des différentes étapes du processus de la compilation.,0,0.6050503850
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-AL01,Lire et écrire des expressions rationnelles.,0,0.5389877558
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-AL02,"Caractériser un automate à états finis (déterministe, non déterministe, à epsilon transition).",0,0.5248416066
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-AL03,"Comprendre la correspondance entre grammaire formelle linéaire, expression rationnelle et automate à états finis.",0,0.5039011240
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-AL04,"Déterminer, à l'aide de l'algorithme de parcours d'automate, l'appartenance ou non d'un mot à un langage rationnel.",0,0.5122786760
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASY01,Créer un AST depuis la racine à l'aide de l'algorithme de dérivation.,0,0.5005170107
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASY02,Créer un AST depuis les feuilles à l'aide de l'algorithme décalage-réduction.,0,0.4958682060
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASY03,Désambiguïser une grammaire en décomposant des règles.,0,0.5239301324
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASY04,Désambiguïser une grammaire en priorisant des unités lexicales ou en définissant des associativités.,0,0.5220921040
