AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL,SCORE
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt01,"Définir et classer les différents types de capteurs en fonction de leurs caractéristiques : actif/passif, nature du mesurande ou du signal de sortie, analogique/numérique/logique, mesure directe/indirecte",1,0.2690381895
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt02,Décrire les signaux/données d'entrée/sortie,1,0.5464695935
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt03,Définir les caractéristiques métrologiques des capteurs,1,0.0321886659
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt04,Caractériser les erreurs de mesures liées aux capteurs.,1,0.0795056291
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt05,"Interpréter la position dans différents repères de référence (géocentrique, terrestre, local, ENU, NED)",0,0.0375769488
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt06,Analyser des trames NMEA pour extraire les données utiles,0,0.0615993074
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt07,"Comparer différentes représentations de l’orientation (angles, matrices)",0,0.0517551299
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt08,"Décrire les principes physiques (semi-conducteur, laser) associés à des capteurs de perception",0,0.1595140140
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt09,"Comparer les performances des capteurs (portée, résolution, fréquence)",0,0.0259333263
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt10,Interpréter les résultats de détection ou de mesure de distance,0,0.1712141249
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt11,Appliquer un filtrage simple pour réduire le bruit sur un signal mesuré,0,0.0000000000
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt12,"Synchroniser les données issues de capteurs différents (IMU, GPS)",0,0.1143641042
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt13,Prétraiter les données pour compenser les dérives ou biais,0,0.0888902299
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt14,Mettre en œuvre un filtre de Kalman linéaire,0,0.1214729275
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt15,Présenter les limites du modèle linéaire et expliquer le filtre de Kalman étendu,0,0.0969269834
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt16,Expliquer les intérêts d’une fusion multi-capteurs pour la robustesse,0,0.0231418096
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt17,Interpréter les résultats de la fusion dans le contexte de la navigation,0,0.1142741137
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt18,Utiliser un capteur avec une carte raspberry,0,0.0000000000
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt19,"Développer un programme python pour utiliser les capteurs ou pour traiter les données (filtre, kalman…)",0,0.0677116275
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt01,"Définir et classer les différents types de capteurs en fonction de leurs caractéristiques : actif/passif, nature du mesurande ou du signal de sortie, analogique/numérique/logique, mesure directe/indirecte",0,0.0279205977
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt02,Décrire les signaux/données d'entrée/sortie,0,0.0000000000
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt03,Définir les caractéristiques métrologiques des capteurs,0,0.0000000000
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt04,Caractériser les erreurs de mesures liées aux capteurs.,0,0.0000000000
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt05,"Interpréter la position dans différents repères de référence (géocentrique, terrestre, local, ENU, NED)",0,0.0000000000
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt06,Analyser des trames NMEA pour extraire les données utiles,0,0.0000000000
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt07,"Comparer différentes représentations de l’orientation (angles, matrices)",0,0.0000000000
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt08,"Décrire les principes physiques (semi-conducteur, laser) associés à des capteurs de perception",0,0.0000000000
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt09,"Comparer les performances des capteurs (portée, résolution, fréquence)",0,0.0000000000
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt10,Interpréter les résultats de détection ou de mesure de distance,0,0.0000000000
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt11,Appliquer un filtrage simple pour réduire le bruit sur un signal mesuré,0,0.0868689951
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt12,"Synchroniser les données issues de capteurs différents (IMU, GPS)",0,0.0000000000
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt13,Prétraiter les données pour compenser les dérives ou biais,0,0.0000000000
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt14,Mettre en œuvre un filtre de Kalman linéaire,0,0.0621929431
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt15,Présenter les limites du modèle linéaire et expliquer le filtre de Kalman étendu,0,0.0468242212
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt16,Expliquer les intérêts d’une fusion multi-capteurs pour la robustesse,0,0.0000000000
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt17,Interpréter les résultats de la fusion dans le contexte de la navigation,0,0.0000000000
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt18,Utiliser un capteur avec une carte raspberry,0,0.0583146519
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt19,"Développer un programme python pour utiliser les capteurs ou pour traiter les données (filtre, kalman…)",0,0.0430228428
specifier-1.3,Utiliser un langage formel,CAPT-Capt01,"Définir et classer les différents types de capteurs en fonction de leurs caractéristiques : actif/passif, nature du mesurande ou du signal de sortie, analogique/numérique/logique, mesure directe/indirecte",0,0.0000000000
