AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL,MEAN-MAXSIM
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-TL01,Choisir le type d'un langage formel en fonction des caractéristiques des mots à reconnaître.,0,0.4466596246
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-TL02,"Déterminer le rôle des différents éléments d'une grammaire formelle (terminaux, non terminaux, axiome, règles).",0,0.4038107097
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-TL03,"Déterminer, à l'aide de l'algorithme de dérivation, l'appartenance ou non d'un mot à un langage formel.",0,0.4379571676
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-COMP01,"Comprendre le vocabulaire des bases de la théorie de la compilation : unité lexicale, lexème, AST.",0,0.4189474285
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-COMP02,Connaître les entrées et sorties des différentes étapes du processus de la compilation.,0,0.5121170282
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-AL01,Lire et écrire des expressions rationnelles.,0,0.2949918509
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-AL02,"Caractériser un automate à états finis (déterministe, non déterministe, à epsilon transition).",0,0.4413646162
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-AL03,"Comprendre la correspondance entre grammaire formelle linéaire, expression rationnelle et automate à états finis.",0,0.3981663883
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-AL04,"Déterminer, à l'aide de l'algorithme de parcours d'automate, l'appartenance ou non d'un mot à un langage rationnel.",0,0.4416066110
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASY01,Créer un AST depuis la racine à l'aide de l'algorithme de dérivation.,0,0.3179000020
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASY02,Créer un AST depuis les feuilles à l'aide de l'algorithme décalage-réduction.,0,0.3235266209
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASY03,Désambiguïser une grammaire en décomposant des règles.,0,0.3666894734
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASY04,Désambiguïser une grammaire en priorisant des unités lexicales ou en définissant des associativités.,0,0.2727478743
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASY05,Supprimer des récursivités à gauche à l'aide de l'algorithme décalage-réduction.,0,0.2900459170
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASE01,Calculer la valeur d'un attribut synthétisé d'une grammaire attribuée.,0,0.3441941142
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASE02,Calculer la valeur d'un attribut hérité d'une grammaire attribuée.,0,0.2645266652
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASE03,Calculer le graphe des dépendances d'une grammaire attribuée.,0,0.2725398839
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASE04,Ajouter des règles sémantiques.,0,0.2488153279
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASE05,Réprésenter et implémenter en classes les non terminaux des grammaires attribuées.,0,0.3384897709
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-ASE06,"Utiliser le design pattern Visiteur pour développer les analyseurs sémantiques, l'optimiseur et la phase de traitement.",0,0.3419769704
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-JC01,Représenter les unités lexicales.,0,0.3546991348
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-JC02,Traduire les règles de la grammaire attribuée et les règles sémantiques en code JavaCC.,0,0.3380385935
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-JC03,Remplacer les règles utilisant epsilon par l'utilisation de l'opérateur de Kleene.,0,0.2326358259
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,COMP-JC04,Compiler le code JavaCC et Java,0,0.2998951077
specifier-1.2,Décomposer et organiser un processus,COMP-TL01,Choisir le type d'un langage formel en fonction des caractéristiques des mots à reconnaître.,0,0.2049263269
specifier-1.2,Décomposer et organiser un processus,COMP-TL02,"Déterminer le rôle des différents éléments d'une grammaire formelle (terminaux, non terminaux, axiome, règles).",0,0.2826237381
specifier-1.2,Décomposer et organiser un processus,COMP-TL03,"Déterminer, à l'aide de l'algorithme de dérivation, l'appartenance ou non d'un mot à un langage formel.",0,0.2967507243
