AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL,MEAN-MAXSIM
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN001,Désigner les choses (identifiant significatif),0,0.5206207037
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN002,Être précis quant aux types de données utilisés,0,0.6001877785
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN003,Comprendre le rôle de l'analyse,0,0.5097341537
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN004,Comprendre et appliquer des consignes algorithmiques sur un exemple,0,0.5127919316
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN101,Identifier les entrées et sorties d'un problème,1,0.6089797020
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN102,Décomposer logiquement un problème,0,0.5318737626
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN103,Généraliser un problème,0,0.5550211668
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN104,Savoir si un problème doit être décomposé,0,0.4970247149
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN105,Identifier un problème naturellement récursif (directement ou indirectement),0,0.5093332529
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN106,Formaliser une analyse descendante à l'aide du langage vu en cours,0,0.4761928320
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN201,Identifier les dépendances d'un TAD,0,0.5098104477
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN202,Définir des TAD génériques,0,0.5178970695
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN203,Savoir si une opération identifiée fait partie du TAD à spécifier,0,0.4770416617
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN204,Formaliser des opérations d'un TAD,0,0.5008272529
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN205,Formaliser les préconditions d'une opération d'un TAD,0,0.4731834531
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN206,Formaliser des axiomes ou savoir définir la sémantique d'une opération d'un TAD,0,0.4869834185
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN207,Formaliser un TAD à l'aide le langage vu en cours,0,0.4546630085
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN301,Lister les collections usuelles,0,0.5149830580
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ALGO-AN302,Formaliser sous forme de TAD une collection,0,0.4852337837
