AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL,SCORE
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-CBD01,"Identifier les caractéristiques des données massives (volume, vélocité, variété, véracité)",0,0.0863136899
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-CBD02,Expliquer les enjeux liés au traitement de données massives,0,0.1462026084
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-CBD03,Expliquer les limites des systèmes de gestion de données traditionnels,0,0.1797770178
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-ARC01,Décrire l'organisation générale d'un système Big Data,0,0.1333015680
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-ARC02,"Expliquer le rôle des différentes couches (batch, temps réel, stockage)",0,0.0473848581
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-ARC03,"Décrire les étapes de traitement des données (collecte, traitement, stockage)",0,0.2429426956
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-STO01,Décrire les principes du stockage distribué des données,1,0.2040553028
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-STO02,"Expliquer les mécanismes assurant la fiabilité des données (réplication, distribution)",0,0.0914809617
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-STO03,Identifier différents types de bases de données adaptées au Big Data,0,0.2595514754
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-STO04,"Manipuler des données dans une base NoSQL (requêtes, insertion, modification)",0,0.0597313763
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRD01,Décrire le principe du traitement de données en mode batch,0,0.2539011598
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRD02,Expliquer le fonctionnement du modèle MapReduce,0,0.0303049445
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRD03,Concevoir un traitement distribué à partir d'un problème donné,0,0.0306143433
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRD04,Identifier les limites des traitements batch pour certaines applications,0,0.0587563031
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRT01,Expliquer les principes du traitement de données en flux,0,0.2130733625
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRT02,Comparer les traitements batch et temps réel,0,0.1116475853
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRT03,"Décrire les étapes d'un traitement de données en temps réel (collecte, traitement, stockage)",0,0.2611865083
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRT04,Utiliser des outils de traitement de flux pour analyser des données en temps réel,0,0.1821770400
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-COL01,Décrire les mécanismes de collecte de données dans un système distribué,1,0.2797099125
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-COL02,Expliquer le principe d'échange de données entre producteurs et consommateurs,0,0.1366933869
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-COL03,Interagir avec des services permettant d'accéder aux données (API),0,0.0568922695
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-COL04,Mettre à disposition des données via une interface ou un service,0,0.0715169060
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-SYS01,Mettre en place un environnement de travail pour le traitement de données,0,0.2001359331
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-SYS02,Exécuter des traitements distribués sur un système Big Data,0,0.0400726914
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-SYS03,Interpréter les résultats produits par un traitement de données,0,0.1446836256
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-PRJ01,Concevoir une architecture répondant à un besoin de traitement de données massives,0,0.1410312778
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-PRJ02,Intégrer différents outils dans une chaîne de traitement cohérente,0,0.0811951347
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-PRJ03,Exploiter et restituer les résultats d'un traitement de données,0,0.2035293194
specifier-1.2,Décomposer et organiser un processus,BGD-CBD01,"Identifier les caractéristiques des données massives (volume, vélocité, variété, véracité)",0,0.0273653418
specifier-1.2,Décomposer et organiser un processus,BGD-CBD02,Expliquer les enjeux liés au traitement de données massives,0,0.0280051827
specifier-1.2,Décomposer et organiser un processus,BGD-CBD03,Expliquer les limites des systèmes de gestion de données traditionnels,0,0.0284417450
specifier-1.2,Décomposer et organiser un processus,BGD-ARC01,Décrire l'organisation générale d'un système Big Data,1,0.0979771099
specifier-1.2,Décomposer et organiser un processus,BGD-ARC02,"Expliquer le rôle des différentes couches (batch, temps réel, stockage)",1,0.0433719754
specifier-1.2,Décomposer et organiser un processus,BGD-ARC03,"Décrire les étapes de traitement des données (collecte, traitement, stockage)",1,0.0475161672
specifier-1.2,Décomposer et organiser un processus,BGD-STO01,Décrire les principes du stockage distribué des données,0,0.0411017090
specifier-1.2,Décomposer et organiser un processus,BGD-STO02,"Expliquer les mécanismes assurant la fiabilité des données (réplication, distribution)",0,0.0425406992
specifier-1.2,Décomposer et organiser un processus,BGD-STO03,Identifier différents types de bases de données adaptées au Big Data,0,0.0292604923
specifier-1.2,Décomposer et organiser un processus,BGD-STO04,"Manipuler des données dans une base NoSQL (requêtes, insertion, modification)",0,0.0287603229
specifier-1.2,Décomposer et organiser un processus,BGD-TRD01,Décrire le principe du traitement de données en mode batch,1,0.0526431799
specifier-1.2,Décomposer et organiser un processus,BGD-TRD02,Expliquer le fonctionnement du modèle MapReduce,0,0.0448910266
specifier-1.2,Décomposer et organiser un processus,BGD-TRD03,Concevoir un traitement distribué à partir d'un problème donné,0,0.1370668569
specifier-1.2,Décomposer et organiser un processus,BGD-TRD04,Identifier les limites des traitements batch pour certaines applications,0,0.0360544026
specifier-1.2,Décomposer et organiser un processus,BGD-TRT01,Expliquer les principes du traitement de données en flux,0,0.0508377075
specifier-1.2,Décomposer et organiser un processus,BGD-TRT02,Comparer les traitements batch et temps réel,0,0.1017505767
specifier-1.2,Décomposer et organiser un processus,BGD-TRT03,"Décrire les étapes d'un traitement de données en temps réel (collecte, traitement, stockage)",1,0.0903251625
specifier-1.2,Décomposer et organiser un processus,BGD-TRT04,Utiliser des outils de traitement de flux pour analyser des données en temps réel,0,0.0406708598
specifier-1.2,Décomposer et organiser un processus,BGD-COL01,Décrire les mécanismes de collecte de données dans un système distribué,0,0.0913405784
specifier-1.2,Décomposer et organiser un processus,BGD-COL02,Expliquer le principe d'échange de données entre producteurs et consommateurs,0,0.0704199607
specifier-1.2,Décomposer et organiser un processus,BGD-COL03,Interagir avec des services permettant d'accéder aux données (API),0,0.0251009196
specifier-1.2,Décomposer et organiser un processus,BGD-COL04,Mettre à disposition des données via une interface ou un service,0,0.0701666930
specifier-1.2,Décomposer et organiser un processus,BGD-SYS01,Mettre en place un environnement de travail pour le traitement de données,0,0.0829193133
specifier-1.2,Décomposer et organiser un processus,BGD-SYS02,Exécuter des traitements distribués sur un système Big Data,0,0.0880578843
specifier-1.2,Décomposer et organiser un processus,BGD-SYS03,Interpréter les résultats produits par un traitement de données,0,0.0873590966
specifier-1.2,Décomposer et organiser un processus,BGD-PRJ01,Concevoir une architecture répondant à un besoin de traitement de données massives,0,0.0758335133
specifier-1.2,Décomposer et organiser un processus,BGD-PRJ02,Intégrer différents outils dans une chaîne de traitement cohérente,0,0.0589797735
specifier-1.2,Décomposer et organiser un processus,BGD-PRJ03,Exploiter et restituer les résultats d'un traitement de données,0,0.1568199292
specifier-1.3,Utiliser un langage formel,BGD-CBD01,"Identifier les caractéristiques des données massives (volume, vélocité, variété, véracité)",0,0.0189143643
specifier-1.3,Utiliser un langage formel,BGD-CBD02,Expliquer les enjeux liés au traitement de données massives,0,0.0287438035
specifier-1.3,Utiliser un langage formel,BGD-CBD03,Expliquer les limites des systèmes de gestion de données traditionnels,0,0.0281136632
specifier-1.3,Utiliser un langage formel,BGD-ARC01,Décrire l'organisation générale d'un système Big Data,0,0.0833537970
specifier-1.3,Utiliser un langage formel,BGD-ARC02,"Expliquer le rôle des différentes couches (batch, temps réel, stockage)",0,0.0257971793
specifier-1.3,Utiliser un langage formel,BGD-ARC03,"Décrire les étapes de traitement des données (collecte, traitement, stockage)",0,0.0282878816
specifier-1.3,Utiliser un langage formel,BGD-STO01,Décrire les principes du stockage distribué des données,0,0.0296822727
specifier-1.3,Utiliser un langage formel,BGD-STO02,"Expliquer les mécanismes assurant la fiabilité des données (réplication, distribution)",0,0.0254127413
specifier-1.3,Utiliser un langage formel,BGD-STO03,Identifier différents types de bases de données adaptées au Big Data,0,0.0196738958
specifier-1.3,Utiliser un langage formel,BGD-STO04,"Manipuler des données dans une base NoSQL (requêtes, insertion, modification)",0,0.0161690369
specifier-1.3,Utiliser un langage formel,BGD-TRD01,Décrire le principe du traitement de données en mode batch,0,0.0272299886
specifier-1.3,Utiliser un langage formel,BGD-TRD02,Expliquer le fonctionnement du modèle MapReduce,1,0.0255783796
specifier-1.3,Utiliser un langage formel,BGD-TRD03,Concevoir un traitement distribué à partir d'un problème donné,0,0.1283630132
specifier-1.3,Utiliser un langage formel,BGD-TRD04,Identifier les limites des traitements batch pour certaines applications,0,0.0172859669
specifier-1.3,Utiliser un langage formel,BGD-TRT01,Expliquer les principes du traitement de données en flux,0,0.0299041927
specifier-1.3,Utiliser un langage formel,BGD-TRT02,Comparer les traitements batch et temps réel,0,0.0173146248
specifier-1.3,Utiliser un langage formel,BGD-TRT03,"Décrire les étapes d'un traitement de données en temps réel (collecte, traitement, stockage)",0,0.0766294873
specifier-1.3,Utiliser un langage formel,BGD-TRT04,Utiliser des outils de traitement de flux pour analyser des données en temps réel,0,0.1236211493
specifier-1.3,Utiliser un langage formel,BGD-COL01,Décrire les mécanismes de collecte de données dans un système distribué,0,0.0813248987
specifier-1.3,Utiliser un langage formel,BGD-COL02,Expliquer le principe d'échange de données entre producteurs et consommateurs,0,0.0237339497
specifier-1.3,Utiliser un langage formel,BGD-COL03,Interagir avec des services permettant d'accéder aux données (API),0,0.0200673416
specifier-1.3,Utiliser un langage formel,BGD-COL04,Mettre à disposition des données via une interface ou un service,0,0.0767376409
specifier-1.3,Utiliser un langage formel,BGD-SYS01,Mettre en place un environnement de travail pour le traitement de données,0,0.0756834536
specifier-1.3,Utiliser un langage formel,BGD-SYS02,Exécuter des traitements distribués sur un système Big Data,0,0.0666418050
specifier-1.3,Utiliser un langage formel,BGD-SYS03,Interpréter les résultats produits par un traitement de données,0,0.0820771095
specifier-1.3,Utiliser un langage formel,BGD-PRJ01,Concevoir une architecture répondant à un besoin de traitement de données massives,0,0.0702727285
specifier-1.3,Utiliser un langage formel,BGD-PRJ02,Intégrer différents outils dans une chaîne de traitement cohérente,0,0.0228730693
specifier-1.3,Utiliser un langage formel,BGD-PRJ03,Exploiter et restituer les résultats d'un traitement de données,0,0.0897655609
specifier-2.1,Analyser la demande,BGD-CBD01,"Identifier les caractéristiques des données massives (volume, vélocité, variété, véracité)",0,0.0256166816
specifier-2.1,Analyser la demande,BGD-CBD02,Expliquer les enjeux liés au traitement de données massives,1,0.0237868696
specifier-2.1,Analyser la demande,BGD-CBD03,Expliquer les limites des systèmes de gestion de données traditionnels,1,0.0257805288
specifier-2.1,Analyser la demande,BGD-ARC01,Décrire l'organisation générale d'un système Big Data,0,0.0279582560
