AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL,SCORE
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt01,"Définir et classer les différents types de capteurs en fonction de leurs caractéristiques : actif/passif, nature du mesurande ou du signal de sortie, analogique/numérique/logique, mesure directe/indirecte",1,0.2690373533
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt02,Décrire les signaux/données d'entrée/sortie,1,0.5464708469
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt03,Définir les caractéristiques métrologiques des capteurs,1,0.0321882994
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt04,Caractériser les erreurs de mesures liées aux capteurs.,1,0.0795057031
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt05,"Interpréter la position dans différents repères de référence (géocentrique, terrestre, local, ENU, NED)",0,0.0375770264
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt06,Analyser des trames NMEA pour extraire les données utiles,0,0.0615987824
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt07,"Comparer différentes représentations de l’orientation (angles, matrices)",0,0.0517558699
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt08,"Décrire les principes physiques (semi-conducteur, laser) associés à des capteurs de perception",0,0.1595138918
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt09,"Comparer les performances des capteurs (portée, résolution, fréquence)",0,0.0259330819
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt10,Interpréter les résultats de détection ou de mesure de distance,0,0.1712145752
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt11,Appliquer un filtrage simple pour réduire le bruit sur un signal mesuré,0,-0.0000011414
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt12,"Synchroniser les données issues de capteurs différents (IMU, GPS)",0,0.1143644405
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt13,Prétraiter les données pour compenser les dérives ou biais,0,0.0888887337
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt14,Mettre en œuvre un filtre de Kalman linéaire,0,0.1214695274
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt15,Présenter les limites du modèle linéaire et expliquer le filtre de Kalman étendu,0,0.0969299762
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt16,Expliquer les intérêts d’une fusion multi-capteurs pour la robustesse,0,0.0231412848
