AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL,SCORE
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt01,"Définir et classer les différents types de capteurs en fonction de leurs caractéristiques : actif/passif, nature du mesurande ou du signal de sortie, analogique/numérique/logique, mesure directe/indirecte",1,0.3094095487
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt02,Décrire les signaux/données d'entrée/sortie,1,0.5703150600
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt03,Définir les caractéristiques métrologiques des capteurs,1,0.0965692366
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt04,Caractériser les erreurs de mesures liées aux capteurs.,1,0.1138463666
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt05,"Interpréter la position dans différents repères de référence (géocentrique, terrestre, local, ENU, NED)",0,0.0951515621
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt06,Analyser des trames NMEA pour extraire les données utiles,0,0.1217265166
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt07,"Comparer différentes représentations de l’orientation (angles, matrices)",0,0.0982712106
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt08,"Décrire les principes physiques (semi-conducteur, laser) associés à des capteurs de perception",0,0.1970882186
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt09,"Comparer les performances des capteurs (portée, résolution, fréquence)",0,0.1010073741
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt10,Interpréter les résultats de détection ou de mesure de distance,0,0.1927200275
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt11,Appliquer un filtrage simple pour réduire le bruit sur un signal mesuré,0,0.0259090352
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt12,"Synchroniser les données issues de capteurs différents (IMU, GPS)",0,0.1668425642
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt13,Prétraiter les données pour compenser les dérives ou biais,0,0.1255325847
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt14,Mettre en œuvre un filtre de Kalman linéaire,0,0.1115409880
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt15,Présenter les limites du modèle linéaire et expliquer le filtre de Kalman étendu,0,0.1077564071
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt16,Expliquer les intérêts d’une fusion multi-capteurs pour la robustesse,0,0.0772709231
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt17,Interpréter les résultats de la fusion dans le contexte de la navigation,0,0.1444090627
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt18,Utiliser un capteur avec une carte raspberry,0,0.0507230980
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt19,"Développer un programme python pour utiliser les capteurs ou pour traiter les données (filtre, kalman…)",0,0.1098166695
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt01,"Définir et classer les différents types de capteurs en fonction de leurs caractéristiques : actif/passif, nature du mesurande ou du signal de sortie, analogique/numérique/logique, mesure directe/indirecte",0,0.0764404308
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt02,Décrire les signaux/données d'entrée/sortie,0,0.0679014543
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt03,Définir les caractéristiques métrologiques des capteurs,0,0.0547622561
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt04,Caractériser les erreurs de mesures liées aux capteurs.,0,0.0262974611
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt05,"Interpréter la position dans différents repères de référence (géocentrique, terrestre, local, ENU, NED)",0,0.0506932280
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt06,Analyser des trames NMEA pour extraire les données utiles,0,0.0624673607
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt07,"Comparer différentes représentations de l’orientation (angles, matrices)",0,0.0591471509
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt08,"Décrire les principes physiques (semi-conducteur, laser) associés à des capteurs de perception",0,0.0586856332
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt09,"Comparer les performances des capteurs (portée, résolution, fréquence)",0,0.0591398728
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt10,Interpréter les résultats de détection ou de mesure de distance,0,0.0582870718
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt11,Appliquer un filtrage simple pour réduire le bruit sur un signal mesuré,0,0.1156956861
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt12,"Synchroniser les données issues de capteurs différents (IMU, GPS)",0,0.0532090173
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt13,Prétraiter les données pour compenser les dérives ou biais,0,0.0446567366
