AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL,SCORE
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-CBD01,"Identifier les caractéristiques des données massives (volume, vélocité, variété, véracité)",0,0.0474793185
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-CBD02,Expliquer les enjeux liés au traitement de données massives,0,0.1106187696
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-CBD03,Expliquer les limites des systèmes de gestion de données traditionnels,0,0.1552210960
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-ARC01,Décrire l'organisation générale d'un système Big Data,0,0.0930981901
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-ARC02,"Expliquer le rôle des différentes couches (batch, temps réel, stockage)",0,0.0000693161
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-ARC03,"Décrire les étapes de traitement des données (collecte, traitement, stockage)",0,0.2046326118
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-STO01,Décrire les principes du stockage distribué des données,1,0.1701838461
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-STO02,"Expliquer les mécanismes assurant la fiabilité des données (réplication, distribution)",0,0.0494719142
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-STO03,Identifier différents types de bases de données adaptées au Big Data,0,0.2336996649
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-STO04,"Manipuler des données dans une base NoSQL (requêtes, insertion, modification)",0,0.0224421111
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRD01,Décrire le principe du traitement de données en mode batch,0,0.2293242497
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRD02,Expliquer le fonctionnement du modèle MapReduce,0,-0.0001332530
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRD03,Concevoir un traitement distribué à partir d'un problème donné,0,-0.0000618495
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRD04,Identifier les limites des traitements batch pour certaines applications,0,0.0271405570
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRT01,Expliquer les principes du traitement de données en flux,0,0.1854359448
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRT02,Comparer les traitements batch et temps réel,0,0.0806629932
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRT03,"Décrire les étapes d'un traitement de données en temps réel (collecte, traitement, stockage)",0,0.2280714125
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-TRT04,Utiliser des outils de traitement de flux pour analyser des données en temps réel,0,0.1585418053
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-COL01,Décrire les mécanismes de collecte de données dans un système distribué,1,0.2467141557
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-COL02,Expliquer le principe d'échange de données entre producteurs et consommateurs,0,0.1077290150
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-COL03,Interagir avec des services permettant d'accéder aux données (API),0,0.0227187022
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-COL04,Mettre à disposition des données via une interface ou un service,0,0.0245301731
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-SYS01,Mettre en place un environnement de travail pour le traitement de données,0,0.1721762714
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-SYS02,Exécuter des traitements distribués sur un système Big Data,0,-0.0000219090
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-SYS03,Interpréter les résultats produits par un traitement de données,0,0.1120538230
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-PRJ01,Concevoir une architecture répondant à un besoin de traitement de données massives,0,0.1163012303
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-PRJ02,Intégrer différents outils dans une chaîne de traitement cohérente,0,0.0471266811
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,BGD-PRJ03,Exploiter et restituer les résultats d'un traitement de données,0,0.1747642185
specifier-1.2,Décomposer et organiser un processus,BGD-CBD01,"Identifier les caractéristiques des données massives (volume, vélocité, variété, véracité)",0,0.0000034517
specifier-1.2,Décomposer et organiser un processus,BGD-CBD02,Expliquer les enjeux liés au traitement de données massives,0,0.0000627861
specifier-1.2,Décomposer et organiser un processus,BGD-CBD03,Expliquer les limites des systèmes de gestion de données traditionnels,0,-0.0000128444
specifier-1.2,Décomposer et organiser un processus,BGD-ARC01,Décrire l'organisation générale d'un système Big Data,1,0.0523322256
specifier-1.2,Décomposer et organiser un processus,BGD-ARC02,"Expliquer le rôle des différentes couches (batch, temps réel, stockage)",1,-0.0000784014
specifier-1.2,Décomposer et organiser un processus,BGD-ARC03,"Décrire les étapes de traitement des données (collecte, traitement, stockage)",1,-0.0005123501
specifier-1.2,Décomposer et organiser un processus,BGD-STO01,Décrire les principes du stockage distribué des données,0,-0.0001201185
specifier-1.2,Décomposer et organiser un processus,BGD-STO02,"Expliquer les mécanismes assurant la fiabilité des données (réplication, distribution)",0,-0.0000185577
specifier-1.2,Décomposer et organiser un processus,BGD-STO03,Identifier différents types de bases de données adaptées au Big Data,0,0.0000141866
specifier-1.2,Décomposer et organiser un processus,BGD-STO04,"Manipuler des données dans une base NoSQL (requêtes, insertion, modification)",0,0.0000079591
specifier-1.2,Décomposer et organiser un processus,BGD-TRD01,Décrire le principe du traitement de données en mode batch,1,0.0000668904
specifier-1.2,Décomposer et organiser un processus,BGD-TRD02,Expliquer le fonctionnement du modèle MapReduce,0,-0.0001959138
specifier-1.2,Décomposer et organiser un processus,BGD-TRD03,Concevoir un traitement distribué à partir d'un problème donné,0,0.0999385918
specifier-1.2,Décomposer et organiser un processus,BGD-TRD04,Identifier les limites des traitements batch pour certaines applications,0,0.0001038958
specifier-1.2,Décomposer et organiser un processus,BGD-TRT01,Expliquer les principes du traitement de données en flux,0,0.0002734312
specifier-1.2,Décomposer et organiser un processus,BGD-TRT02,Comparer les traitements batch et temps réel,0,0.0684264726
specifier-1.2,Décomposer et organiser un processus,BGD-TRT03,"Décrire les étapes d'un traitement de données en temps réel (collecte, traitement, stockage)",1,0.0469438825
specifier-1.2,Décomposer et organiser un processus,BGD-TRT04,Utiliser des outils de traitement de flux pour analyser des données en temps réel,0,-0.0003251495
specifier-1.2,Décomposer et organiser un processus,BGD-COL01,Décrire les mécanismes de collecte de données dans un système distribué,0,0.0511476898
specifier-1.2,Décomposer et organiser un processus,BGD-COL02,Expliquer le principe d'échange de données entre producteurs et consommateurs,0,0.0539564819
specifier-1.2,Décomposer et organiser un processus,BGD-COL03,Interagir avec des services permettant d'accéder aux données (API),0,0.0000024217
specifier-1.2,Décomposer et organiser un processus,BGD-COL04,Mettre à disposition des données via une interface ou un service,0,0.0460515136
specifier-1.2,Décomposer et organiser un processus,BGD-SYS01,Mettre en place un environnement de travail pour le traitement de données,0,0.0482489820
specifier-1.2,Décomposer et organiser un processus,BGD-SYS02,Exécuter des traitements distribués sur un système Big Data,0,0.0462915744
specifier-1.2,Décomposer et organiser un processus,BGD-SYS03,Interpréter les résultats produits par un traitement de données,0,0.0539524786
specifier-1.2,Décomposer et organiser un processus,BGD-PRJ01,Concevoir une architecture répondant à un besoin de traitement de données massives,0,0.0464571947
specifier-1.2,Décomposer et organiser un processus,BGD-PRJ02,Intégrer différents outils dans une chaîne de traitement cohérente,0,-0.0001269738
specifier-1.2,Décomposer et organiser un processus,BGD-PRJ03,Exploiter et restituer les résultats d'un traitement de données,0,0.1310786557
specifier-1.3,Utiliser un langage formel,BGD-CBD01,"Identifier les caractéristiques des données massives (volume, vélocité, variété, véracité)",0,-0.0000084370
specifier-1.3,Utiliser un langage formel,BGD-CBD02,Expliquer les enjeux liés au traitement de données massives,0,0.0000430965
specifier-1.3,Utiliser un langage formel,BGD-CBD03,Expliquer les limites des systèmes de gestion de données traditionnels,0,-0.0000463133
specifier-1.3,Utiliser un langage formel,BGD-ARC01,Décrire l'organisation générale d'un système Big Data,0,0.0635564010
specifier-1.3,Utiliser un langage formel,BGD-ARC02,"Expliquer le rôle des différentes couches (batch, temps réel, stockage)",0,-0.0001992566
specifier-1.3,Utiliser un langage formel,BGD-ARC03,"Décrire les étapes de traitement des données (collecte, traitement, stockage)",0,-0.0019248581
specifier-1.3,Utiliser un langage formel,BGD-STO01,Décrire les principes du stockage distribué des données,0,-0.0001011964
specifier-1.3,Utiliser un langage formel,BGD-STO02,"Expliquer les mécanismes assurant la fiabilité des données (réplication, distribution)",0,0.0000198402
specifier-1.3,Utiliser un langage formel,BGD-STO03,Identifier différents types de bases de données adaptées au Big Data,0,-0.0000296270
specifier-1.3,Utiliser un langage formel,BGD-STO04,"Manipuler des données dans une base NoSQL (requêtes, insertion, modification)",0,0.0000120036
specifier-1.3,Utiliser un langage formel,BGD-TRD01,Décrire le principe du traitement de données en mode batch,0,0.0004226427
specifier-1.3,Utiliser un langage formel,BGD-TRD02,Expliquer le fonctionnement du modèle MapReduce,1,-0.0002032046
specifier-1.3,Utiliser un langage formel,BGD-TRD03,Concevoir un traitement distribué à partir d'un problème donné,0,0.1215577725
specifier-1.3,Utiliser un langage formel,BGD-TRD04,Identifier les limites des traitements batch pour certaines applications,0,0.0003454751
specifier-1.3,Utiliser un langage formel,BGD-TRT01,Expliquer les principes du traitement de données en flux,0,0.0004636270
specifier-1.3,Utiliser un langage formel,BGD-TRT02,Comparer les traitements batch et temps réel,0,-0.0011216994
specifier-1.3,Utiliser un langage formel,BGD-TRT03,"Décrire les étapes d'un traitement de données en temps réel (collecte, traitement, stockage)",0,0.0585418379
specifier-1.3,Utiliser un langage formel,BGD-TRT04,Utiliser des outils de traitement de flux pour analyser des données en temps réel,0,0.1151605630
specifier-1.3,Utiliser un langage formel,BGD-COL01,Décrire les mécanismes de collecte de données dans un système distribué,0,0.0620841917
specifier-1.3,Utiliser un langage formel,BGD-COL02,Expliquer le principe d'échange de données entre producteurs et consommateurs,0,-0.0000438202
specifier-1.3,Utiliser un langage formel,BGD-COL03,Interagir avec des services permettant d'accéder aux données (API),0,0.0000265078
specifier-1.3,Utiliser un langage formel,BGD-COL04,Mettre à disposition des données via une interface ou un service,0,0.0560096930
specifier-1.3,Utiliser un langage formel,BGD-SYS01,Mettre en place un environnement de travail pour le traitement de données,0,0.0586512600
specifier-1.3,Utiliser un langage formel,BGD-SYS02,Exécuter des traitements distribués sur un système Big Data,0,0.0564601794
specifier-1.3,Utiliser un langage formel,BGD-SYS03,Interpréter les résultats produits par un traitement de données,0,0.0655473577
specifier-1.3,Utiliser un langage formel,BGD-PRJ01,Concevoir une architecture répondant à un besoin de traitement de données massives,0,0.0566214109
specifier-1.3,Utiliser un langage formel,BGD-PRJ02,Intégrer différents outils dans une chaîne de traitement cohérente,0,0.0000561551
specifier-1.3,Utiliser un langage formel,BGD-PRJ03,Exploiter et restituer les résultats d'un traitement de données,0,0.0735806743
specifier-2.1,Analyser la demande,BGD-CBD01,"Identifier les caractéristiques des données massives (volume, vélocité, variété, véracité)",0,0.0000971475
specifier-2.1,Analyser la demande,BGD-CBD02,Expliquer les enjeux liés au traitement de données massives,1,-0.0003765759
specifier-2.1,Analyser la demande,BGD-CBD03,Expliquer les limites des systèmes de gestion de données traditionnels,1,0.0001782083
