AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL,MEAN-MAXSIM
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt01,"Définir et classer les différents types de capteurs en fonction de leurs caractéristiques : actif/passif, nature du mesurande ou du signal de sortie, analogique/numérique/logique, mesure directe/indirecte",1,0.4801861644
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt02,Décrire les signaux/données d'entrée/sortie,1,0.6467937231
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt03,Définir les caractéristiques métrologiques des capteurs,1,0.2851097882
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt04,Caractériser les erreurs de mesures liées aux capteurs.,1,0.3964486122
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt05,"Interpréter la position dans différents repères de référence (géocentrique, terrestre, local, ENU, NED)",0,0.3272398114
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt06,Analyser des trames NMEA pour extraire les données utiles,0,0.4211544991
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt07,"Comparer différentes représentations de l’orientation (angles, matrices)",0,0.4264735579
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt08,"Décrire les principes physiques (semi-conducteur, laser) associés à des capteurs de perception",0,0.3629257977
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt09,"Comparer les performances des capteurs (portée, résolution, fréquence)",0,0.3226615489
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt10,Interpréter les résultats de détection ou de mesure de distance,0,0.3881791830
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt11,Appliquer un filtrage simple pour réduire le bruit sur un signal mesuré,0,0.2358551323
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt12,"Synchroniser les données issues de capteurs différents (IMU, GPS)",0,0.3888516426
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt13,Prétraiter les données pour compenser les dérives ou biais,0,0.3605767787
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt14,Mettre en œuvre un filtre de Kalman linéaire,0,0.2228057384
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt15,Présenter les limites du modèle linéaire et expliquer le filtre de Kalman étendu,0,0.3220776320
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt16,Expliquer les intérêts d’une fusion multi-capteurs pour la robustesse,0,0.2424469739
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt17,Interpréter les résultats de la fusion dans le contexte de la navigation,0,0.3030680418
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt18,Utiliser un capteur avec une carte raspberry,0,0.2184189558
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,CAPT-Capt19,"Développer un programme python pour utiliser les capteurs ou pour traiter les données (filtre, kalman…)",0,0.3098367751
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt01,"Définir et classer les différents types de capteurs en fonction de leurs caractéristiques : actif/passif, nature du mesurande ou du signal de sortie, analogique/numérique/logique, mesure directe/indirecte",0,0.2232902944
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt02,Décrire les signaux/données d'entrée/sortie,0,0.2634065151
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt03,Définir les caractéristiques métrologiques des capteurs,0,0.1653933227
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt04,Caractériser les erreurs de mesures liées aux capteurs.,0,0.1365217566
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt05,"Interpréter la position dans différents repères de référence (géocentrique, terrestre, local, ENU, NED)",0,0.1160999388
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt06,Analyser des trames NMEA pour extraire les données utiles,0,0.1425463855
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt07,"Comparer différentes représentations de l’orientation (angles, matrices)",0,0.2425279915
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt08,"Décrire les principes physiques (semi-conducteur, laser) associés à des capteurs de perception",0,0.2090578377
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt09,"Comparer les performances des capteurs (portée, résolution, fréquence)",0,0.0877514482
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt10,Interpréter les résultats de détection ou de mesure de distance,0,0.1574533582
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt11,Appliquer un filtrage simple pour réduire le bruit sur un signal mesuré,0,0.0975542367
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt12,"Synchroniser les données issues de capteurs différents (IMU, GPS)",0,0.1260156929
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt13,Prétraiter les données pour compenser les dérives ou biais,0,0.2335316837
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt14,Mettre en œuvre un filtre de Kalman linéaire,0,0.2353527099
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt15,Présenter les limites du modèle linéaire et expliquer le filtre de Kalman étendu,0,0.2440911233
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt16,Expliquer les intérêts d’une fusion multi-capteurs pour la robustesse,0,0.1703747213
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt17,Interpréter les résultats de la fusion dans le contexte de la navigation,0,0.2507483661
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt18,Utiliser un capteur avec une carte raspberry,0,0.0121583585
specifier-1.2,Décomposer et organiser un processus,CAPT-Capt19,"Développer un programme python pour utiliser les capteurs ou pour traiter les données (filtre, kalman…)",0,0.1493838429
specifier-1.3,Utiliser un langage formel,CAPT-Capt01,"Définir et classer les différents types de capteurs en fonction de leurs caractéristiques : actif/passif, nature du mesurande ou du signal de sortie, analogique/numérique/logique, mesure directe/indirecte",0,0.2395097911
