AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL,MEAN-MAXSIM
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-1-1,Distinguer les entrées/sorties sur un système à microprocesseur,1,0.5655181408
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-1-2,Distinguer les signaux analogiques et numériques,1,0.5360003114
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-1-3,Identifier les entrées/sorties d'un circuit logique,1,0.5715528727
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-2-1,Identifier les priorités de tâches dans un systèmes embarqué,0,0.4865322411
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-2-2,Traduire un cachier des charges en une table de vérité,0,0.4753479958
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-2-3,Programmer des entrées/sorties d'un système embarqué,0,0.5420300364
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-15-3,Différencier les capteurs en fonction de leurs propriétés et de la mesure physique,0,0.5043301582
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-15-4,Identifier les caractéristiques d'un systèmes à microprocesseur,0,0.5173802376
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-17-1,Identifier les outils logiciel pour la mise en œuvre d'un système embarqué,0,0.4829649925
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-17-2,Différencier les interfaces disponibles sur une carte électronique,0,0.5071771145
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-17-3,Distinguer les protocoles de communication dans un système embarqué,0,0.5112041831
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-17-4,Utiliser des actionneurs pour mettre en œuvre un système embarqué,0,0.4744238257
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-17-5,Analyser des filtres analogiques passifs et actifs en terme de gain,0,0.4793740511
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-31-2,Etablir une acquisition en choisissant le bon protocole de communication,0,0.4969941080
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-31-4,Utiliser la modulation de largeur d'impulsions pour piloter des actionneurs,0,0.4866380095
